metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (Bottom) (mm),KLAQ31T085057,1793,1/24/2024 22:26,0.616,0.63376,0.5184,0.70575
Cathode Width (mm),KLAQ31T085057,1793,1/24/2024 22:26,57.889,57.90241,57.75844,57.9891
Anode Overhang (All) (mm),KLAQ31T084947,1794,1/24/2024 22:35,0.709,0.69255,0.4896,0.89326
Anode Overhang (Top) (mm),KLAQ31T084947,1794,1/24/2024 22:35,0.811,0.79839,0.67741,0.89326
Anode Overhang (Bottom) (mm),KLAQ31T084947,1794,1/24/2024 22:35,0.607,0.62071,0.4896,0.69255
Cathode Width (mm),KLAQ31T084947,1794,1/24/2024 22:35,57.9,57.9168,57.744,58.00342
Core Area (mm²),KLAQ31T084947,1794,1/24/2024 22:35,13.179,13.19017,13.0726,13.25341
Core Area (mm²),KLAQ31T084979,1795,1/24/2024 22:45,13.201,13.20043,13.15523,13.26928
Anode Overhang (All) (mm),KLAQ31T084979,1795,1/24/2024 22:45,0.712,0.72129,0.49179,0.89326
Anode Overhang (Top) (mm),KLAQ31T084979,1795,1/24/2024 22:45,0.815,0.8064,0.72014,0.89326
Anode Overhang (Bottom) (mm),KLAQ31T084979,1795,1/24/2024 22:45,0.608,0.6336,0.49179,0.69255
Cathode Width (mm),KLAQ31T084979,1795,1/24/2024 22:45,57.892,57.9024,57.7584,57.98915
Core Area (mm²),LLAQ21T062654,1796,1/24/2024 22:54,13.234,13.22998,13.1177,13.36954
Anode Overhang (All) (mm),LLAQ21T062654,1796,1/24/2024 22:54,0.705,0.70575,0.5616,0.85009
Anode Overhang (Top) (mm),LLAQ21T062654,1796,1/24/2024 22:54,0.736,0.72,0.64399,0.85009
Anode Overhang (Bottom) (mm),LLAQ21T062654,1796,1/24/2024 22:54,0.675,0.7056,0.5616,0.75101
Cathode Width (mm),LLAQ21T062654,1796,1/24/2024 22:54,57.905,57.9028,57.7584,58.0179
Core Area (mm²),KLAQ23T055340,1797,1/24/2024 23:04,13.329,13.32941,13.18571,13.48089
Anode Overhang (All) (mm),KLAQ23T055340,1797,1/24/2024 23:04,0.743,0.74894,0.576,0.90823
Anode Overhang (Top) (mm),KLAQ23T055340,1797,1/24/2024 23:04,0.667,0.64944,0.576,0.83532
Anode Overhang (Bottom) (mm),KLAQ23T055340,1797,1/24/2024 23:04,0.819,0.82395,0.6912,0.90823
Cathode Width (mm),KLAQ23T055340,1797,1/24/2024 23:04,57.885,57.9024,57.7296,57.9747
Core Area (mm²),KLAQ31T069154,1798,1/24/2024 23:13,13.098,13.10049,13.03849,13.17068
Anode Overhang (All) (mm),KLAQ31T069154,1798,1/24/2024 23:13,0.717,0.72007,0.5616,0.87946
Anode Overhang (Top) (mm),KLAQ31T069154,1798,1/24/2024 23:13,0.79,0.77813,0.69135,0.87946
Anode Overhang (Bottom) (mm),KLAQ31T069154,1798,1/24/2024 23:13,0.644,0.65055,0.5616,0.72702
Cathode Width (mm),KLAQ31T069154,1798,1/24/2024 23:13,57.92,57.9312,57.744,58.01774
Core Area (mm²),KLAQ34T029106,1799,1/24/2024 23:23,13.115,13.11583,13.05507,13.15388
Anode Overhang (All) (mm),KLAQ34T029106,1799,1/24/2024 23:23,0.717,0.72014,0.61853,0.81102
Anode Overhang (Top) (mm),KLAQ34T029106,1799,1/24/2024 23:23,0.704,0.72,0.61853,0.78093
Anode Overhang (Bottom) (mm),KLAQ34T029106,1799,1/24/2024 23:23,0.729,0.7344,0.64816,0.81102
Cathode Width (mm),KLAQ34T029106,1799,1/24/2024 23:23,57.924,57.91698,57.7584,58.01782
Core Area (mm²),LLAQ21T037509,1800,1/24/2024 23:32,13.399,13.38602,13.32744,13.52589
Anode Overhang (All) (mm),LLAQ21T037509,1800,1/24/2024 23:32,0.718,0.72,0.5616,0.86448
Anode Overhang (Top) (mm),LLAQ21T037509,1800,1/24/2024 23:32,0.731,0.73157,0.63376,0.86448
Anode Overhang (Bottom) (mm),LLAQ21T037509,1800,1/24/2024 23:32,0.704,0.7056,0.5616,0.80691
Cathode Width (mm),LLAQ21T037509,1800,1/24/2024 23:32,57.887,57.87395,57.7296,58.0036
Core Area (mm²),LLAQ33T068690,1801,1/24/2024 23:41,13.189,13.18975,13.13449,13.25373
Anode Overhang (All) (mm),LLAQ33T068690,1801,1/24/2024 23:41,0.722,0.73454,0.46639,0.96491
Anode Overhang (Top) (mm),LLAQ33T068690,1801,1/24/2024 23:41,0.833,0.82194,0.64816,0.96491
Anode Overhang (Bottom) (mm),LLAQ33T068690,1801,1/24/2024 23:41,0.611,0.61987,0.46639,0.79409
Cathode Width (mm),LLAQ33T068690,1801,1/24/2024 23:41,57.889,57.88801,57.744,58.00338
Core Area (mm²),LLAQ33T078737,1802,1/24/2024 23:51,13.131,13.13045,13.04253,13.20634
Anode Overhang (All) (mm),LLAQ33T078737,1802,1/24/2024 23:51,0.732,0.7344,0.5904,0.87887
Anode Overhang (Top) (mm),LLAQ33T078737,1802,1/24/2024 23:51,0.697,0.67787,0.5904,0.8357
Anode Overhang (Bottom) (mm),LLAQ33T078737,1802,1/24/2024 23:51,0.766,0.77973,0.60497,0.87887
Cathode Width (mm),LLAQ33T078737,1802,1/24/2024 23:51,57.91,57.91681,57.7584,58.03209
Core Area (mm²),KLAQ23T032104,1803,1/25/2024 0:00,13.332,13.32184,13.25518,13.4501
Anode Overhang (All) (mm),KLAQ23T032104,1803,1/25/2024 0:00,0.714,0.70692,0.5184,0.9072
Anode Overhang (Top) (mm),KLAQ23T032104,1803,1/25/2024 0:00,0.792,0.792,0.6048,0.9072
Anode Overhang (Bottom) (mm),KLAQ23T032104,1803,1/25/2024 0:00,0.635,0.63621,0.5184,0.84972
Cathode Width (mm),KLAQ23T032104,1803,1/25/2024 0:00,57.928,57.9312,57.7728,58.03222
Core Area (mm²),LLAQ21T062584,1804,1/25/2024 0:09,13.327,13.33003,13.24159,13.42957
Anode Overhang (All) (mm),LLAQ21T062584,1804,1/25/2024 0:09,0.734,0.73567,0.6048,0.86699
Anode Overhang (Top) (mm),LLAQ21T062584,1804,1/25/2024 0:09,0.687,0.67695,0.6048,0.80691
Anode Overhang (Bottom) (mm),LLAQ21T062584,1804,1/25/2024 0:09,0.781,0.77773,0.6912,0.86699
Cathode Width (mm),LLAQ21T062584,1804,1/25/2024 0:09,57.873,57.87371,57.74402,57.97451
Core Area (mm²),LLAQ21T062614,1805,1/25/2024 0:19,13.58,13.58239,13.52661,13.63112
Anode Overhang (All) (mm),LLAQ21T062614,1805,1/25/2024 0:19,0.707,0.70575,0.576,0.8357
Anode Overhang (Top) (mm),LLAQ21T062614,1805,1/25/2024 0:19,0.748,0.72058,0.6649,0.8357
Anode Overhang (Bottom) (mm),LLAQ21T062614,1805,1/25/2024 0:19,0.666,0.6912,0.576,0.73496
Cathode Width (mm),LLAQ21T062614,1805,1/25/2024 0:19,57.895,57.9024,57.74404,58.01761
Core Area (mm²),KLAQ23T032122,1806,1/25/2024 0:28,13.145,13.14621,13.0559,13.2531
Anode Overhang (All) (mm),KLAQ23T032122,1806,1/25/2024 0:28,0.723,0.72014,0.51832,0.89326
Anode Overhang (Top) (mm),KLAQ23T032122,1806,1/25/2024 0:28,0.812,0.82181,0.66303,0.89326
Anode Overhang (Bottom) (mm),KLAQ23T032122,1806,1/25/2024 0:28,0.633,0.63425,0.51832,0.75005
Cathode Width (mm),KLAQ23T032122,1806,1/25/2024 0:28,57.89,57.90242,57.7584,58.0176
Core Area (mm²),KLAQ34T029151,1807,1/25/2024 0:38,13.005,13.00375,12.81754,13.19276
Anode Overhang (All) (mm),KLAQ34T029151,1807,1/25/2024 0:38,0.718,0.73496,0.55398,0.85556
Anode Overhang (Top) (mm),KLAQ34T029151,1807,1/25/2024 0:38,0.64,0.63376,0.55398,0.69658
Anode Overhang (Bottom) (mm),KLAQ34T029151,1807,1/25/2024 0:38,0.795,0.79252,0.72014,0.85556
Cathode Width (mm),KLAQ34T029151,1807,1/25/2024 0:38,57.933,57.94561,57.8016,58.04643
Core Area (mm²),KLAQ34T029077,1808,1/25/2024 0:47,13.16,13.16767,13.00614,13.29883
Anode Overhang (All) (mm),KLAQ34T029077,1808,1/25/2024 0:47,0.717,0.72,0.63914,0.79409
Anode Overhang (Top) (mm),KLAQ34T029077,1808,1/25/2024 0:47,0.697,0.7056,0.63914,0.75101
Anode Overhang (Bottom) (mm),KLAQ34T029077,1808,1/25/2024 0:47,0.736,0.73454,0.67695,0.79409
Cathode Width (mm),KLAQ34T029077,1808,1/25/2024 0:47,57.914,57.9168,57.7728,58.01778
Anode Overhang (All) (mm),KLAQ34T029021,1809,1/25/2024 0:57,0.72,0.72129,0.58741,0.84972
Anode Overhang (Top) (mm),KLAQ34T029021,1809,1/25/2024 0:57,0.66,0.64864,0.58741,0.7223
Anode Overhang (Bottom) (mm),KLAQ34T029021,1809,1/25/2024 0:57,0.779,0.77773,0.70619,0.84972
Cathode Width (mm),KLAQ34T029021,1809,1/25/2024 0:57,57.916,57.9312,57.7728,58.0179
Core Area (mm²),KLAQ34T029021,1809,1/25/2024 0:57,13.399,13.40157,13.31645,13.47747
Core Area (mm²),KLAQ34T029007,1810,1/25/2024 1:06,13.231,13.24419,13.08836,13.35378
Anode Overhang (All) (mm),KLAQ34T029007,1810,1/25/2024 1:06,0.717,0.71567,0.56178,0.89326
Anode Overhang (Top) (mm),KLAQ34T029007,1810,1/25/2024 1:06,0.611,0.60907,0.56178,0.65373
Anode Overhang (Bottom) (mm),KLAQ34T029007,1810,1/25/2024 1:06,0.823,0.82162,0.7776,0.89326
Cathode Width (mm),KLAQ34T029007,1810,1/25/2024 1:06,57.926,57.91683,57.72961,58.04654
Anode Overhang (All) (mm),KLAQ34T029037,1811,1/25/2024 1:15,0.716,0.72014,0.6252,0.79839
Anode Overhang (Top) (mm),KLAQ34T029037,1811,1/25/2024 1:15,0.688,0.6912,0.6252,0.75377
Anode Overhang (Bottom) (mm),KLAQ34T029037,1811,1/25/2024 1:15,0.742,0.73567,0.67695,0.79839
Cathode Width (mm),KLAQ34T029037,1811,1/25/2024 1:15,57.917,57.91691,57.78721,58.03211
Core Area (mm²),KLAQ34T029037,1811,1/25/2024 1:15,13.04,13.04647,12.92527,13.15606
Anode Overhang (All) (mm),LLAQ33T068557,1812,1/25/2024 1:25,0.727,0.7776,0.504,0.936
Anode Overhang (Top) (mm),LLAQ33T068557,1812,1/25/2024 1:25,0.844,0.83097,0.7776,0.936
